id,inhabitant per km^2
2525,1127.43
1059,989.14
175,53.48
2850,361.11
4276,483.14
355,787.0
3882,105.54
4031,342.42
154,1121.41
1331,421.8
4008,507.06
5871,44.88
5741,43.13
5486,63.47
6810,38.06
2234,184.99
6432,15.3
5474,62.0
6421,699.57
6744,23.83
6435,28.96
6504,36.39
435,38.29
2116,96.46
723,542.29
5758,31.25
3785,11.85
5726,68.8
2149,67.1
6423,37.58
5498,331.27
2235,156.23
5889,3502.76
6461,905.51
2338,86.07
3575,51.04
1344,3532.5
6627,172.58
6750,53.35
6286,530.16
5189,961.96
2887,121.84
6628,6476.86
613,60.86
3955,466.28
2888,63.1
2550,1922.56
329,894.21
136,861.5
902,188.86
4681,117.39
3513,24.11
842,14.23
1365,118.61
2787,488.89
34,261.28
4170,240.04
667,754.41
2426,111.73
903,125.97
5586,3280.72
2828,901.8
584,14.9
2889,44.98
5112,23.08
5406,64.36
5637,250.63
5323,2.87
6061,57.31
6741,27.19
6434,20.77
5872,46.8
2067,50.4
2337,123.17
2223,122.21
6623,2769.34
6455,438.69
5873,26.35
6436,452.78
5587,746.46
2220,166.38
6754,90.31
2145,254.91
5731,398.72
3833,15.08
4311,200.0
4137,423.21
585,98.36
4312,211.0
387,676.78
4683,187.56
792,19.4
6240,287.8
4201,807.05
6081,68.44
6742,48.3
6431,90.4
6743,140.48
5750,26.31
6745,20.87
6748,37.72
2050,136.18
6422,19.03
6437,70.08
6511,24.29
4313,155.06
6110,70.79
6111,21.93
4138,201.06
388,121.48
5407,227.95
6135,114.52
3374,682.5
6033,12.47
2890,82.05
2788,93.29
2829,775.54
740,307.3
5755,36.65
6456,75.72
176,451.63
614,96.38
5315,7.44
5113,823.95
5285,55.96
3707,5.28
2917,155.12
2526,605.15
874,128.42
4741,142.06
2551,256.77
5638,686.72
5429,49.05
5115,686.0
3821,15.03
2493,294.97
331,403.37
5674,43.35
696,67.36
5675,425.8
63,399.23
5192,837.13
6793,35.81
5858,236.7
2025,205.11
5639,376.73
5010,141.18
3618,12.45
1405,46.02
4104,446.69
2830,449.21
2270,78.7
5487,112.87
5640,273.73
2527,756.83
1135,34.06
5606,1152.54
3033,552.42
3891,38.51
1061,2795.87
306,965.66
415,234.65
2852,159.75
2024,91.89
2903,201.01
497,97.24
2464,135.51
2455,173.97
2456,102.27
3393,103.94
586,17.68
955,151.67
332,138.9
3783,14.01
4253,357.93
5317,23.21
5193,1358.18
3953,85.48
2853,187.85
3926,66.49
3954,204.13
1062,244.59
4826,115.29
4105,56.91
5194,540.83
5790,100.68
3253,481.31
5430,38.02
2206,1052.47
3533,1.58
5195,649.48
2140,231.92
35,138.23
6136,708.67
6137,61.48
8,136.97
3663,113.37
5196,8383.78
6215,271.17
2086,121.7
5919,88.05
3708,3.44
2208,532.53
587,655.44
543,148.02
2427,114.44
4591,341.12
5562,21.52
1091,184.94
195,668.63
5488,104.26
3983,2.86
1063,942.09
389,77.61
1064,200.3
307,232.55
156,1135.85
6629,307.03
390,298.43
785,116.42
4202,655.35
5197,310.19
333,150.05
5198,1096.34
4314,97.4
4033,1110.81
3293,61.93
2620,115.28
5254,467.41
4139,923.52
1704,161.59
1136,94.96
4234,252.4
5117,17.94
2936,49.4
6715,52.1
741,177.43
3822,8.19
2457,122.88
4184,89.31
6716,45.34
9,357.78
2477,106.56
5489,235.07
2271,1793.94
6630,2230.41
5199,132.62
5723,567.62
5200,60.86
6416,1029.17
5118,1233.73
615,265.25
2272,160.45
5821,114.43
6241,530.71
5490,43.48
5012,16.6
5431,26.7
6242,29.9
5921,40.47
6090,24.04
437,24.84
5491,19.38
5859,676.49
2029,134.36
5922,203.71
6411,37.91
6243,480.28
5693,72.08
5756,156.95
5013,293.47
5238,126.98
5202,267.86
2089,179.0
6751,33.37
5432,104.85
6153,612.7
5540,140.22
5792,152.31
5886,790.16
5492,36.92
4277,238.18
544,634.81
5257,2004.76
5203,273.67
2033,59.23
5642,4060.62
2143,237.75
5527,284.86
1366,54.04
3394,55.41
5119,6.03
5678,377.08
700,388.02
6718,48.63
4009,544.18
3534,0.77
4255,426.6
3617,36.9
2274,845.13
3202,116.54
1367,20.32
5120,4393.55
4279,155.32
4236,617.15
356,1696.86
6753,29.84
2034,75.73
2275,487.3
5563,47.83
3503,7.27
2770,1058.69
5205,525.64
4032,596.85
155,2229.26
4941,277.46
2027,95.17
2087,111.17
5791,347.43
4254,575.7
196,481.91
4106,99.49
6203,81.47
742,390.28
4203,665.91
