commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Biel/Bienne,53014,0.17,0.31,0.33,0.19,0.49,0.7
Biezwil,331,0.2,0.27,0.37,0.17,0.5,0.92
Biglen,1747,0.18,0.26,0.37,0.18,0.5,0.92
Billens-Hennens,670,0.22,0.29,0.35,0.14,0.51,0.89
Binn,153,0.18,0.19,0.33,0.3,0.51,0.94
Binningen,14902,0.16,0.25,0.35,0.24,0.48,0.77
Bioggio,2558,0.16,0.26,0.38,0.19,0.48,0.79
Bioley-Magnoux,184,0.14,0.25,0.39,0.23,0.52,0.95
Bioley-Orjulaz,455,0.21,0.28,0.42,0.09,0.5,0.77
Birmensdorf (ZH),6087,0.18,0.26,0.36,0.2,0.49,0.77
Birmenstorf (AG),2856,0.19,0.3,0.36,0.15,0.5,0.8
Birr,4318,0.22,0.31,0.34,0.13,0.51,0.54
Birrhard,663,0.17,0.25,0.44,0.14,0.51,0.89
Birrwil,1002,0.12,0.23,0.43,0.22,0.5,0.89
Birsfelden,10231,0.14,0.28,0.33,0.25,0.49,0.73
Birwinken,1326,0.21,0.26,0.39,0.14,0.51,0.9
Bischofszell,5686,0.19,0.29,0.35,0.17,0.5,0.76
Bissone,879,0.13,0.25,0.42,0.2,0.49,0.61
Bister,30,0.07,0.27,0.53,0.13,0.5,0.97
Bitsch,856,0.17,0.31,0.38,0.14,0.5,0.93
Bivio,196,0.13,0.22,0.33,0.32,0.49,0.78
Bière,1507,0.19,0.28,0.35,0.18,0.5,0.77
Blatten,289,0.17,0.23,0.34,0.26,0.5,0.97
Blauen,688,0.16,0.23,0.42,0.19,0.48,0.95
Bleienbach,661,0.14,0.24,0.42,0.2,0.5,0.96
Blenio,1708,0.15,0.22,0.37,0.26,0.5,0.94
Blitzingen,76,0.04,0.16,0.51,0.29,0.5,0.79
Blonay,6067,0.22,0.22,0.38,0.18,0.49,0.76
Blumenstein,1162,0.16,0.22,0.4,0.22,0.51,0.97
Bodio,1041,0.15,0.27,0.36,0.22,0.51,0.49
Bofflens,186,0.22,0.24,0.41,0.13,0.51,0.95
Bogis-Bossey,884,0.26,0.19,0.44,0.12,0.49,0.64
Bolken,583,0.24,0.26,0.39,0.11,0.51,0.94
Bolligen,6078,0.17,0.19,0.36,0.28,0.48,0.92
Boltigen,1313,0.15,0.26,0.35,0.24,0.51,0.97
Bonaduz,3036,0.19,0.29,0.38,0.13,0.49,0.87
Boncourt,1253,0.17,0.2,0.36,0.27,0.48,0.91
Bonfol,675,0.15,0.2,0.35,0.29,0.48,0.93
Boningen,729,0.19,0.31,0.4,0.1,0.51,0.9
Boniswil,1408,0.18,0.25,0.41,0.16,0.49,0.86
Bonstetten,5260,0.22,0.26,0.38,0.14,0.5,0.86
Bonvillars,515,0.22,0.26,0.36,0.16,0.5,0.9
Boppelsen,1311,0.23,0.19,0.41,0.16,0.5,0.88
Borex,890,0.23,0.22,0.4,0.15,0.5,0.7
Bosco/Gurin,56,0.16,0.25,0.38,0.21,0.57,0.93
Bossonnens,1429,0.25,0.28,0.36,0.11,0.48,0.81
Boswil,2603,0.18,0.32,0.36,0.15,0.51,0.84
Bottens,1229,0.21,0.31,0.36,0.12,0.51,0.86
Bottenwil,787,0.17,0.25,0.41,0.18,0.47,0.93
Botterens,521,0.25,0.26,0.35,0.15,0.48,0.88
Bottighofen,2123,0.17,0.22,0.41,0.21,0.5,0.7
Bottmingen,6313,0.17,0.24,0.36,0.24,0.48,0.77
Boudry,5293,0.19,0.29,0.34,0.17,0.48,0.74
Bougy-Villars,423,0.19,0.2,0.42,0.2,0.49,0.75
Boulens,314,0.22,0.28,0.33,0.17,0.51,0.9
Bourg-Saint-Pierre,193,0.12,0.16,0.45,0.27,0.57,0.83
Bourg-en-Lavaux,5116,0.18,0.25,0.38,0.2,0.49,0.79
Bournens,334,0.24,0.22,0.36,0.18,0.52,0.87
Bourrignon,269,0.16,0.31,0.37,0.16,0.48,0.97
Boussens,915,0.24,0.27,0.38,0.11,0.48,0.84
Bovernier,835,0.19,0.32,0.32,0.17,0.49,0.89
Bowil,1357,0.19,0.28,0.37,0.16,0.51,0.98
Boécourt,893,0.22,0.24,0.34,0.19,0.5,0.9
Braunau,726,0.23,0.27,0.36,0.14,0.49,0.92
Bregaglia,1563,0.15,0.25,0.37,0.23,0.48,0.87
Breggia,1965,0.17,0.21,0.4,0.22,0.49,0.9
Breil/Brigels,1290,0.19,0.26,0.32,0.23,0.51,0.93
Breitenbach,3635,0.19,0.26,0.37,0.18,0.49,0.75
Bremblens,486,0.25,0.23,0.39,0.12,0.49,0.85
Bremgarten (AG),7668,0.19,0.3,0.36,0.15,0.49,0.8
Bremgarten bei Bern,4329,0.19,0.22,0.37,0.22,0.48,0.91
Brenles,145,0.2,0.2,0.46,0.14,0.49,0.97
Brenzikofen,520,0.18,0.26,0.41,0.15,0.5,0.98
Bretigny-sur-Morrens,740,0.22,0.33,0.33,0.12,0.49,0.88
Bretonnières,233,0.21,0.22,0.36,0.21,0.47,0.94
Bretzwil,758,0.22,0.22,0.38,0.18,0.5,0.92
Brienz (BE),2996,0.17,0.24,0.36,0.23,0.49,0.91
Brienzwiler,481,0.14,0.23,0.38,0.24,0.5,0.92
Brig-Glis,12823,0.15,0.3,0.36,0.19,0.48,0.85
Brione (Verzasca),193,0.11,0.23,0.38,0.27,0.47,0.94
Brione sopra Minusio,526,0.1,0.18,0.4,0.33,0.48,0.82
Brislach,1610,0.21,0.23,0.4,0.15,0.51,0.9
Brissago,1801,0.11,0.16,0.39,0.34,0.49,0.8
Brittnau,3773,0.19,0.25,0.39,0.17,0.5,0.91
Broc,2500,0.2,0.29,0.34,0.16,0.5,0.7
Brot-Dessous,105,0.17,0.2,0.49,0.14,0.52,0.9
Brot-Plamboz,247,0.24,0.25,0.36,0.14,0.5,0.99
Brugg,10904,0.16,0.3,0.34,0.2,0.5,0.73
Brunegg,687,0.18,0.3,0.4,0.12,0.51,0.83
Brusino Arsizio,472,0.13,0.2,0.42,0.25,0.5,0.83
Brusio,1116,0.15,0.23,0.36,0.27,0.49,0.91
Brügg,4251,0.18,0.27,0.35,0.2,0.48,0.8
Brünisried,650,0.19,0.27,0.38,0.16,0.49,0.97
Brüttelen,581,0.16,0.23,0.43,0.18,0.53,0.84
Brütten,2009,0.18,0.23,0.4,0.19,0.51,0.93
Bubendorf,4411,0.18,0.26,0.39,0.17,0.5,0.87
Bubikon,6933,0.21,0.25,0.38,0.16,0.49,0.9
Buch (SH),313,0.14,0.26,0.44,0.16,0.51,0.73
Buch am Irchel,921,0.23,0.25,0.4,0.12,0.49,0.92
Buchberg,847,0.19,0.22,0.4,0.19,0.52,0.89
Buchegg,2522,0.18,0.25,0.4,0.17,0.49,0.96
Buchholterberg,1543,0.2,0.26,0.37,0.18,0.49,0.97
Buchillon,642,0.2,0.24,0.36,0.2,0.5,0.74
Buchrain,6142,0.21,0.29,0.37,0.13,0.5,0.82
Buchs (AG),7407,0.18,0.33,0.33,0.15,0.49,0.68
Buchs (SG),11937,0.17,0.33,0.33,0.16,0.5,0.65
Buchs (ZH),6201,0.19,0.33,0.38,0.1,0.51,0.76
Buckten,692,0.19,0.23,0.38,0.2,0.51,0.85
Bulle,20820,0.2,0.36,0.31,0.14,0.49,0.64
Bullet,603,0.16,0.2,0.36,0.27,0.49,0.93
Buochs,5314,0.18,0.29,0.37,0.16,0.51,0.86
Bure,671,0.17,0.25,0.33,0.25,0.49,0.96
Burg (AG),965,0.17,0.3,0.4,0.14,0.5,0.66
Burg im Leimental,252,0.18,0.19,0.42,0.2,0.47,0.92
Burgdorf,15905,0.16,0.3,0.34,0.2,0.48,0.86
Burgistein,1019,0.17,0.23,0.42,0.17,0.49,0.97
Bursinel,475,0.22,0.28,0.35,0.15,0.49,0.69
Bursins,785,0.23,0.25,0.37,0.15,0.49,0.77
Burtigny,355,0.24,0.26,0.33,0.16,0.48,0.81
Buseno,92,0.12,0.15,0.4,0.33,0.46,0.93
Bussigny,8165,0.2,0.32,0.35,0.14,0.5,0.64
Bussnang,2195,0.2,0.3,0.36,0.14,0.51,0.88
Busswil bei Melchnau,194,0.18,0.18,0.44,0.2,0.53,0.93
Bussy (FR),406,0.19,0.34,0.33,0.14,0.5,0.88
Bussy-Chardonney,382,0.27,0.19,0.39,0.15,0.46,0.88
Bussy-sur-Moudon,185,0.14,0.26,0.39,0.21,0.5,0.91
Buttisholz,3307,0.25,0.28,0.35,0.12,0.5,0.88
Buttwil,1159,0.22,0.23,0.42,0.14,0.51,0.92
Buus,980,0.17,0.24,0.4,0.19,0.5,0.92
Bäretswil,4913,0.2,0.25,0.38,0.17,0.5,0.89
Bäriswil,1026,0.16,0.22,0.44,0.17,0.5,0.94
Bärschwil,808,0.13,0.22,0.44,0.21,0.51,0.93
Bätterkinden,3142,0.19,0.26,0.39,0.17,0.48,0.93
Bättwil,1185,0.21,0.2,0.45,0.14,0.5,0.86
Böbikon,163,0.15,0.17,0.45,0.23,0.52,0.91
Böckten,792,0.18,0.26,0.39,0.17,0.51,0.9
Bönigen,2520,0.18,0.26,0.36,0.21,0.49,0.93
Bösingen,3309,0.18,0.27,0.4,0.15,0.5,0.92
Böttstein,3711,0.17,0.28,0.37,0.18,0.52,0.6
Bözberg,1539,0.15,0.25,0.41,0.18,0.5,0.91
Bözen,745,0.16,0.29,0.4,0.15,0.5,0.82
Büetigen,775,0.16,0.24,0.43,0.16,0.53,0.94
Bühl,413,0.15,0.23,0.45,0.17,0.5,0.96
Bühler,1702,0.22,0.28,0.32,0.18,0.51,0.74
Bülach,18404,0.18,0.33,0.33,0.16,0.49,0.75
Bünzen,1009,0.2,0.28,0.4,0.12,0.51,0.88
Bürchen,725,0.16,0.23,0.4,0.2,0.5,0.96
Büren (SO),935,0.21,0.23,0.4,0.16,0.49,0.89
Büren an der Aare,3443,0.19,0.28,0.36,0.17,0.5,0.84
Bürglen (TG),3501,0.18,0.32,0.36,0.15,0.51,0.73
Bürglen (UR),3952,0.2,0.27,0.35,0.18,0.51,0.95
Büron,2280,0.23,0.27,0.38,0.12,0.51,0.75
Büsserach,2084,0.2,0.26,0.37,0.17,0.5,0.89
Bütschwil-Ganterschwil,4538,0.2,0.27,0.35,0.18,0.5,0.87
Büttenhardt,359,0.19,0.21,0.43,0.17,0.5,0.9
Büttikon,959,0.2,0.25,0.42,0.14,0.49,0.83
