commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Châtonnaye,760,0.26,0.27,0.34,0.14,0.5,0.9
Chénens,803,0.24,0.32,0.33,0.11,0.5,0.83
Chéserex,1243,0.21,0.24,0.4,0.15,0.49,0.73
Chésopelloz,125,0.19,0.29,0.38,0.14,0.54,0.86
Chêne-Bougeries,11099,0.19,0.25,0.32,0.24,0.47,0.65
Chêne-Bourg,8147,0.19,0.29,0.36,0.16,0.47,0.63
Chêne-Pâquier,131,0.23,0.23,0.37,0.17,0.47,0.96
Clarmont,155,0.17,0.3,0.4,0.13,0.49,0.85
Claro,2807,0.21,0.27,0.37,0.15,0.49,0.83
Clavaleyres,48,0.17,0.25,0.35,0.23,0.52,0.96
Clos du Doubs,1300,0.16,0.25,0.34,0.24,0.49,0.93
Coeuve,711,0.22,0.26,0.34,0.19,0.49,0.96
Coinsins,425,0.19,0.24,0.41,0.16,0.5,0.79
Coldrerio,2824,0.14,0.23,0.4,0.23,0.49,0.8
Collex-Bossy,1675,0.23,0.25,0.39,0.13,0.49,0.68
Collina d'Oro,4670,0.19,0.21,0.4,0.2,0.49,0.68
Collombey-Muraz,8310,0.23,0.29,0.36,0.12,0.5,0.75
Collonge-Bellerive,7818,0.22,0.23,0.36,0.19,0.47,0.7
Collonges,701,0.18,0.28,0.34,0.2,0.51,0.84
Cologny,5094,0.19,0.25,0.33,0.22,0.47,0.63
Comano,2091,0.2,0.23,0.36,0.2,0.47,0.88
Commugny,2778,0.25,0.2,0.39,0.16,0.49,0.6
Concise,934,0.21,0.26,0.35,0.18,0.5,0.84
Confignon,4456,0.23,0.24,0.36,0.17,0.49,0.82
Conters im Prättigau,209,0.18,0.24,0.34,0.23,0.5,0.95
Conthey,8314,0.2,0.28,0.35,0.18,0.5,0.76
Coppet,3083,0.22,0.23,0.38,0.17,0.5,0.59
Corban,465,0.22,0.24,0.35,0.19,0.51,0.97
Corbeyrier,421,0.18,0.21,0.33,0.28,0.5,0.91
Corbières,821,0.22,0.27,0.35,0.16,0.5,0.87
Corcelles (BE),214,0.15,0.29,0.36,0.2,0.5,0.93
Corcelles-Cormondrèche,4688,0.21,0.24,0.35,0.19,0.49,0.81
Corcelles-le-Jorat,444,0.19,0.29,0.33,0.2,0.49,0.87
Corcelles-près-Concise,331,0.2,0.3,0.34,0.16,0.47,0.92
Corcelles-près-Payerne,2091,0.22,0.28,0.35,0.15,0.49,0.78
Corcelles-sur-Chavornay,333,0.22,0.27,0.35,0.17,0.49,0.9
Corgémont,1649,0.21,0.24,0.35,0.2,0.5,0.86
Corippo,13,0.08,0.0,0.31,0.62,0.54,0.92
Corminboeuf,2239,0.21,0.26,0.4,0.13,0.51,0.9
Cormoret,494,0.19,0.23,0.37,0.2,0.49,0.93
Cornaux,1605,0.2,0.29,0.36,0.14,0.5,0.77
Cornol,1018,0.22,0.27,0.33,0.17,0.5,0.94
Corpataux-Magnedens,1295,0.25,0.28,0.36,0.1,0.51,0.87
Corseaux,2168,0.16,0.22,0.37,0.25,0.47,0.75
Corserey,394,0.25,0.3,0.32,0.12,0.5,0.9
Corsier (GE),2017,0.2,0.26,0.37,0.17,0.5,0.68
Corsier-sur-Vevey,3409,0.18,0.27,0.35,0.2,0.48,0.66
Cortaillod,4758,0.2,0.26,0.35,0.19,0.49,0.8
Cortébert,717,0.19,0.26,0.38,0.17,0.5,0.86
Cossonay,3618,0.23,0.3,0.36,0.11,0.49,0.77
Cottens (FR),1441,0.27,0.26,0.34,0.13,0.5,0.84
Cottens (VD),474,0.25,0.29,0.31,0.15,0.5,0.88
Courchapoix,429,0.22,0.28,0.34,0.17,0.52,0.94
Courchavon,294,0.19,0.27,0.35,0.19,0.48,0.92
Courgenay,2258,0.2,0.26,0.35,0.19,0.5,0.9
Courgevaux,1421,0.22,0.29,0.38,0.11,0.51,0.72
Courlevon,305,0.15,0.32,0.39,0.14,0.49,0.91
Courrendlin,2739,0.21,0.29,0.33,0.17,0.49,0.78
Courroux,3149,0.21,0.27,0.34,0.18,0.49,0.88
Court,1432,0.21,0.27,0.32,0.21,0.51,0.91
Courtedoux,751,0.18,0.23,0.36,0.23,0.46,0.94
Courtelary,1353,0.22,0.25,0.34,0.19,0.49,0.85
Courtepin,3634,0.25,0.3,0.35,0.1,0.51,0.54
Courtételle,2524,0.22,0.29,0.33,0.16,0.5,0.85
Crans-près-Céligny,2170,0.24,0.2,0.39,0.18,0.5,0.68
Crassier,1150,0.27,0.23,0.37,0.13,0.5,0.7
Cremin,51,0.16,0.24,0.39,0.22,0.47,0.82
Cresciano,676,0.14,0.29,0.38,0.19,0.53,0.62
Cressier (FR),896,0.21,0.27,0.39,0.13,0.51,0.76
Cressier (NE),1927,0.21,0.27,0.38,0.15,0.5,0.73
Crissier,7570,0.21,0.32,0.34,0.13,0.5,0.56
Croglio,899,0.17,0.21,0.38,0.24,0.49,0.83
Cronay,352,0.17,0.26,0.39,0.18,0.51,0.92
Croy,321,0.18,0.19,0.34,0.3,0.45,0.93
Crémines,550,0.21,0.25,0.32,0.23,0.49,0.9
Crésuz,324,0.12,0.27,0.35,0.25,0.52,0.83
Cuarnens,435,0.19,0.31,0.35,0.15,0.51,0.87
Cuarny,204,0.15,0.3,0.39,0.16,0.5,0.91
Cudrefin,1462,0.22,0.25,0.38,0.15,0.53,0.86
Cugnasco-Gerra,2887,0.2,0.21,0.41,0.18,0.49,0.85
Cugy (FR),1640,0.22,0.3,0.32,0.15,0.49,0.85
Cugy (VD),2728,0.23,0.28,0.35,0.15,0.49,0.76
Cunter,256,0.16,0.28,0.39,0.17,0.55,0.69
Cureglia,1316,0.19,0.26,0.35,0.2,0.5,0.86
Curio,559,0.17,0.24,0.42,0.17,0.49,0.84
Curtilles,308,0.2,0.27,0.37,0.16,0.5,0.89
Céligny,682,0.24,0.2,0.39,0.17,0.49,0.68
Dachsen,2008,0.21,0.24,0.38,0.17,0.51,0.85
Dagmersellen,5118,0.2,0.31,0.35,0.14,0.51,0.86
Daillens,941,0.24,0.26,0.41,0.1,0.49,0.79
Dallenwil,1828,0.21,0.28,0.36,0.15,0.52,0.91
Dalpe,196,0.1,0.26,0.4,0.25,0.49,0.89
Damphreux,181,0.2,0.23,0.38,0.19,0.49,0.94
Dardagny,1532,0.21,0.3,0.37,0.12,0.49,0.71
Davos,11135,0.15,0.31,0.36,0.18,0.5,0.73
Degersheim,3939,0.22,0.26,0.35,0.17,0.5,0.82
Deisswil bei Münchenbuchsee,85,0.13,0.31,0.38,0.19,0.48,0.99
Deitingen,2249,0.18,0.25,0.38,0.2,0.51,0.9
Delley-Portalban,1038,0.17,0.26,0.36,0.2,0.51,0.88
Delémont,12484,0.18,0.28,0.34,0.2,0.49,0.73
Denens,699,0.2,0.25,0.4,0.15,0.49,0.82
Denges,1625,0.21,0.3,0.38,0.11,0.5,0.71
Densbüren,682,0.14,0.27,0.39,0.21,0.5,0.9
Derendingen,6267,0.17,0.28,0.37,0.18,0.49,0.71
Develier,1413,0.2,0.27,0.35,0.18,0.5,0.88
Diegten,1633,0.21,0.26,0.37,0.16,0.49,0.9
Dielsdorf,5916,0.18,0.32,0.35,0.15,0.5,0.71
Diemerswil,200,0.26,0.24,0.36,0.14,0.51,0.96
Diemtigen,2134,0.2,0.24,0.36,0.21,0.5,0.97
Diepflingen,685,0.21,0.27,0.38,0.14,0.47,0.89
Diepoldsau,6188,0.21,0.3,0.36,0.13,0.51,0.77
Dierikon,1440,0.19,0.31,0.4,0.1,0.5,0.83
Diessbach bei Büren,967,0.23,0.27,0.34,0.17,0.51,0.91
Diessenhofen,3620,0.17,0.29,0.35,0.19,0.52,0.66
Dietikon,26276,0.19,0.36,0.3,0.15,0.5,0.57
Dietlikon,7576,0.18,0.29,0.34,0.19,0.49,0.76
Dietwil,1279,0.21,0.31,0.37,0.11,0.5,0.87
Dinhard,1490,0.21,0.23,0.36,0.2,0.51,0.91
Dintikon,2150,0.21,0.28,0.38,0.13,0.51,0.76
Disentis/Mustér,2056,0.15,0.28,0.33,0.24,0.52,0.87
Dittingen,751,0.18,0.24,0.37,0.22,0.48,0.88
Dizy,222,0.24,0.29,0.39,0.08,0.5,0.88
Domat/Ems,7744,0.2,0.29,0.34,0.17,0.5,0.78
Domdidier,2948,0.24,0.28,0.34,0.14,0.51,0.79
Domleschg,1939,0.19,0.25,0.4,0.16,0.48,0.96
Dompierre (FR),994,0.24,0.34,0.32,0.1,0.52,0.72
Dompierre (VD),247,0.17,0.22,0.43,0.19,0.5,0.87
Donat,206,0.2,0.26,0.36,0.18,0.49,0.99
Donneloye,731,0.21,0.26,0.37,0.16,0.51,0.9
Doppleschwand,743,0.27,0.27,0.32,0.14,0.52,0.95
Dorf,646,0.2,0.24,0.41,0.15,0.5,0.92
Dornach,6504,0.18,0.24,0.38,0.21,0.48,0.75
Dorénaz,858,0.2,0.29,0.36,0.16,0.5,0.82
Dottikon,3861,0.19,0.33,0.34,0.14,0.51,0.65
Dotzigen,1424,0.18,0.25,0.41,0.16,0.5,0.93
Dozwil,685,0.24,0.28,0.32,0.17,0.49,0.86
Drei Höfe,749,0.17,0.24,0.44,0.14,0.51,0.95
Duggingen,1470,0.19,0.21,0.45,0.15,0.51,0.82
Duillier,1054,0.23,0.24,0.39,0.14,0.5,0.76
Dulliken,4854,0.16,0.3,0.35,0.19,0.5,0.58
Dully,617,0.23,0.23,0.4,0.13,0.48,0.62
Dägerlen,980,0.22,0.22,0.43,0.13,0.51,0.92
Dällikon,3904,0.19,0.3,0.36,0.15,0.51,0.71
Däniken,2774,0.16,0.27,0.39,0.18,0.52,0.82
Dänikon,1947,0.2,0.31,0.38,0.11,0.5,0.72
Därligen,408,0.18,0.22,0.41,0.2,0.47,0.89
Därstetten,834,0.18,0.24,0.39,0.19,0.5,0.95
Dättlikon,762,0.22,0.22,0.4,0.16,0.52,0.9
Démoret,125,0.1,0.38,0.38,0.14,0.5,0.92
Dörflingen,964,0.15,0.25,0.43,0.17,0.5,0.81
Döttingen,3822,0.18,0.28,0.36,0.18,0.52,0.6
Dübendorf,26316,0.18,0.31,0.34,0.16,0.49,0.67
Düdingen,7679,0.17,0.27,0.37,0.18,0.5,0.88
Dürnten,7401,0.2,0.27,0.37,0.16,0.51,0.82
Dürrenroth,1080,0.21,0.23,0.36,0.2,0.49,0.97
Dürrenäsch,1208,0.18,0.27,0.39,0.15,0.51,0.9
Ebersecken,401,0.24,0.27,0.35,0.14,0.53,0.96
Ebikon,12779,0.17,0.31,0.35,0.17,0.49,0.79
Ebnat-Kappel,5014,0.18,0.25,0.34,0.23,0.5,0.86
Echallens,5507,0.22,0.29,0.36,0.14,0.49,0.79
Echandens,2415,0.17,0.29,0.34,0.2,0.49,0.76
Echarlens,812,0.25,0.28,0.35,0.11,0.5,0.85
Echichens,2582,0.22,0.23,0.36,0.18,0.49,0.83
Eclépens,1014,0.19,0.31,0.35,0.16,0.52,0.74
Ecublens (FR),318,0.18,0.3,0.42,0.1,0.47,0.91
Ecublens (VD),12162,0.18,0.36,0.31,0.14,0.51,0.54
Ederswiler,115,0.13,0.18,0.39,0.3,0.51,0.97
Effingen,598,0.15,0.25,0.43,0.17,0.49,0.88
Egerkingen,3399,0.18,0.3,0.36,0.16,0.5,0.73
Egg,8335,0.18,0.23,0.39,0.2,0.48,0.81
Eggenwil,937,0.17,0.24,0.44,0.15,0.52,0.82
Eggerberg,334,0.13,0.23,0.46,0.18,0.48,0.96
Eggersriet,2246,0.2,0.23,0.37,0.19,0.49,0.91
Eggiwil,2420,0.2,0.25,0.36,0.19,0.51,0.98
Eglisau,4966,0.21,0.28,0.36,0.15,0.51,0.78
Egliswil,1328,0.18,0.24,0.44,0.13,0.51,0.92
Egnach,4533,0.2,0.27,0.37,0.16,0.51,0.87
Egolzwil,1368,0.18,0.3,0.39,0.12,0.51,0.91
Ehrendingen,4716,0.21,0.26,0.37,0.16,0.49,0.82
Eich,1707,0.18,0.25,0.42,0.15,0.51,0.93
Eichberg,1490,0.2,0.29,0.38,0.12,0.5,0.84
Eiken,2208,0.18,0.28,0.38,0.15,0.52,0.81
Einsiedeln,14948,0.19,0.26,0.37,0.17,0.5,0.85
Eischoll,459,0.12,0.23,0.36,0.29,0.5,0.95
Eisten,203,0.11,0.24,0.37,0.27,0.47,1.0
Elfingen,277,0.15,0.22,0.49,0.13,0.47,0.87
Elgg,4146,0.2,0.26,0.36,0.18,0.51,0.83
Ellikon an der Thur,905,0.21,0.25,0.4,0.14,0.5,0.88
Elsau,3472,0.19,0.26,0.38,0.17,0.5,0.84
Embd,304,0.14,0.19,0.44,0.23,0.5,0.97
Embrach,9113,0.2,0.29,0.37,0.15,0.5,0.74
Emmen,29287,0.18,0.32,0.34,0.17,0.5,0.67
Emmetten,1363,0.13,0.24,0.43,0.19,0.55,0.81
Endingen,2418,0.21,0.24,0.38,0.17,0.5,0.83
Engelberg,4053,0.16,0.26,0.38,0.21,0.52,0.74
Enges,278,0.2,0.22,0.34,0.24,0.53,0.91
Ennetbaden,3302,0.16,0.3,0.36,0.18,0.5,0.77
Ennetbürgen,4547,0.15,0.26,0.38,0.22,0.5,0.87
Ennetmoos,2103,0.19,0.27,0.39,0.14,0.51,0.9
Entlebuch,3325,0.2,0.29,0.33,0.18,0.51,0.93
Epalinges,9011,0.2,0.29,0.34,0.17,0.48,0.71
Ependes (FR),1105,0.21,0.29,0.35,0.15,0.49,0.87
Ependes (VD),342,0.2,0.3,0.34,0.15,0.51,0.84
Eppenberg-Wöschnau,324,0.14,0.35,0.33,0.18,0.52,0.69
Epsach,329,0.15,0.25,0.44,0.16,0.53,0.97
Eptingen,534,0.18,0.27,0.38,0.18,0.52,0.91
Ergisch,189,0.1,0.21,0.41,0.28,0.52,0.96
Eriswil,1386,0.21,0.23,0.35,0.21,0.51,0.95
Eriz,485,0.16,0.23,0.35,0.25,0.52,0.97
Erlach,1346,0.16,0.26,0.39,0.19,0.49,0.85
Erlen,3512,0.21,0.31,0.35,0.13,0.51,0.74
Erlenbach (ZH),5449,0.2,0.21,0.4,0.19,0.49,0.79
Erlenbach im Simmental,1701,0.17,0.25,0.37,0.22,0.49,0.95
Erlinsbach (AG),3931,0.18,0.24,0.36,0.21,0.49,0.84
Erlinsbach (SO),3341,0.19,0.28,0.36,0.18,0.49,0.85
Ermatingen,3167,0.16,0.24,0.4,0.2,0.5,0.71
Ermensee,865,0.22,0.26,0.39,0.13,0.5,0.89
Ernen,529,0.1,0.25,0.43,0.22,0.49,0.89
Erschwil,890,0.18,0.21,0.4,0.2,0.49,0.92
Ersigen,1671,0.19,0.24,0.39,0.19,0.5,0.97
Erstfeld,3784,0.17,0.25,0.35,0.23,0.52,0.8
Eschenbach (LU),3594,0.21,0.26,0.38,0.16,0.5,0.9
Eschenbach (SG),9025,0.21,0.28,0.36,0.16,0.51,0.85
Eschenz,1697,0.18,0.25,0.39,0.18,0.51,0.83
Eschert,359,0.18,0.26,0.36,0.2,0.53,0.85
Eschlikon,4226,0.19,0.29,0.37,0.15,0.51,0.87
Escholzmatt-Marbach,4323,0.2,0.27,0.34,0.19,0.5,0.94
Essert-Pittet,150,0.21,0.28,0.34,0.17,0.53,0.77
Essertes,330,0.22,0.24,0.39,0.15,0.5,0.82
Essertines-sur-Rolle,699,0.26,0.27,0.36,0.11,0.5,0.73
Essertines-sur-Yverdon,909,0.24,0.31,0.32,0.13,0.51,0.9
Estavayer-le-Lac,6132,0.2,0.3,0.34,0.15,0.49,0.73
Etagnières,1106,0.23,0.29,0.36,0.12,0.51,0.77
Etoy,2884,0.23,0.28,0.36,0.13,0.5,0.68
Ettingen,4926,0.17,0.24,0.37,0.21,0.49,0.84
Ettiswil,2561,0.21,0.3,0.36,0.13,0.49,0.91
Etziken,778,0.18,0.25,0.37,0.2,0.49,0.94
Evilard,2517,0.21,0.17,0.37,0.24,0.49,0.88
Evionnaz,1234,0.19,0.3,0.36,0.16,0.52,0.82
Evolène,1718,0.14,0.25,0.37,0.24,0.51,0.89
Eysins,1498,0.25,0.29,0.34,0.11,0.5,0.67
Fahrni,790,0.2,0.27,0.34,0.19,0.51,0.97
Fahrwangen,1992,0.21,0.27,0.38,0.15,0.49,0.79
Fahy,353,0.17,0.2,0.37,0.26,0.5,0.94
Faido,2958,0.14,0.24,0.38,0.24,0.51,0.78
Falera,593,0.14,0.26,0.34,0.26,0.52,0.87
Faoug,822,0.19,0.27,0.42,0.13,0.49,0.79
Farnern,210,0.16,0.17,0.41,0.26,0.49,0.96
Farvagny,2215,0.24,0.3,0.36,0.11,0.48,0.85
Fehraltorf,6316,0.19,0.29,0.37,0.14,0.49,0.83
Fehren,618,0.21,0.22,0.38,0.19,0.49,0.96
Felben-Wellhausen,2660,0.2,0.29,0.38,0.13,0.52,0.81
Feldbrunnen-St. Niklaus,969,0.14,0.24,0.38,0.24,0.5,0.91
Felsberg,2422,0.22,0.3,0.35,0.14,0.51,0.88
Ferden,248,0.1,0.22,0.44,0.23,0.53,0.97
Ferenbalm,1228,0.16,0.23,0.41,0.2,0.49,0.92
Ferlens (VD),331,0.18,0.25,0.4,0.17,0.49,0.95
Ferpicloz,275,0.23,0.24,0.38,0.15,0.48,0.91
Ferrera,88,0.18,0.2,0.35,0.26,0.57,0.92
Ferreyres,301,0.25,0.25,0.39,0.11,0.53,0.94
Feuerthalen,3498,0.18,0.29,0.36,0.17,0.5,0.76
Feusisberg,4986,0.17,0.24,0.44,0.15,0.54,0.74
Fey,625,0.25,0.26,0.36,0.14,0.51,0.91
Fideris,587,0.16,0.28,0.36,0.2,0.51,0.93
Fiesch,918,0.12,0.26,0.41,0.21,0.53,0.86
Fieschertal,317,0.16,0.31,0.39,0.14,0.52,0.91
Fiez,412,0.26,0.22,0.39,0.13,0.49,0.9
Filisur,439,0.15,0.28,0.35,0.22,0.51,0.82
Finhaut,489,0.11,0.25,0.44,0.19,0.63,0.64
Finsterhennen,528,0.23,0.24,0.37,0.16,0.53,0.76
Fischbach,733,0.24,0.27,0.34,0.15,0.52,0.9
Fischbach-Göslikon,1580,0.2,0.28,0.39,0.13,0.5,0.88
Fischenthal,2323,0.22,0.27,0.38,0.14,0.51,0.88
Fischingen,2590,0.19,0.25,0.39,0.17,0.51,0.92
Fisibach,417,0.2,0.27,0.4,0.13,0.53,0.8
Fislisbach,5568,0.18,0.29,0.34,0.18,0.49,0.75
Flaach,1363,0.19,0.26,0.39,0.16,0.5,0.86
Flawil,10322,0.2,0.3,0.34,0.17,0.5,0.71
Flerden,223,0.27,0.2,0.36,0.17,0.5,0.97
Flims,2644,0.14,0.29,0.34,0.23,0.5,0.79
Flumenthal,967,0.15,0.26,0.39,0.2,0.49,0.9
Flums,4848,0.19,0.29,0.34,0.18,0.5,0.77
Flurlingen,1426,0.19,0.24,0.4,0.17,0.51,0.84
Fläsch,719,0.17,0.3,0.38,0.16,0.5,0.92
Flüelen,1959,0.2,0.25,0.36,0.19,0.51,0.87
Flühli,1880,0.17,0.35,0.31,0.17,0.52,0.83
Fontaines-sur-Grandson,183,0.22,0.27,0.37,0.14,0.46,0.85
Fontenais,1673,0.2,0.24,0.35,0.2,0.5,0.91
Forel (Lavaux),2073,0.21,0.28,0.36,0.15,0.5,0.8
Forel-sur-Lucens,151,0.18,0.29,0.35,0.18,0.48,0.95
Forst-Längenbühl,764,0.2,0.28,0.35,0.16,0.49,0.96
Founex,3527,0.26,0.24,0.38,0.13,0.49,0.56
Frasco,104,0.13,0.15,0.5,0.21,0.48,0.98
Fraubrunnen,4866,0.19,0.25,0.39,0.17,0.49,0.94
Frauenfeld,24572,0.17,0.32,0.34,0.17,0.49,0.76
Frauenkappelen,1206,0.15,0.24,0.4,0.21,0.5,0.93
Freienbach,15980,0.16,0.26,0.41,0.17,0.53,0.73
Freienstein-Teufen,2310,0.19,0.24,0.41,0.16,0.51,0.87
Freienwil,970,0.23,0.22,0.43,0.12,0.48,0.85
Freimettigen,457,0.23,0.25,0.38,0.15,0.49,0.94
Frenkendorf,6448,0.18,0.28,0.36,0.18,0.5,0.69
Fresens,237,0.26,0.25,0.3,0.19,0.48,0.95
Fribourg,38282,0.17,0.36,0.31,0.16,0.49,0.63
Frick,5176,0.18,0.3,0.36,0.16,0.51,0.76
Froideville,2315,0.24,0.29,0.35,0.12,0.52,0.83
Frutigen,6793,0.2,0.28,0.34,0.19,0.49,0.93
Fräschels,455,0.15,0.25,0.44,0.15,0.53,0.92
Fulenbach,1697,0.2,0.26,0.38,0.17,0.51,0.89
Full-Reuenthal,835,0.2,0.23,0.41,0.17,0.51,0.87
Fully,8355,0.21,0.29,0.35,0.15,0.49,0.8
Furna,204,0.25,0.21,0.33,0.21,0.45,0.96
Fällanden,8191,0.2,0.26,0.36,0.19,0.49,0.78
Féchy,860,0.22,0.25,0.38,0.15,0.5,0.71
Fétigny,931,0.26,0.31,0.31,0.13,0.5,0.86
Füllinsdorf,4390,0.15,0.24,0.34,0.26,0.49,0.73
Fürstenau,362,0.19,0.25,0.34,0.22,0.51,0.92
Gachnang,3743,0.21,0.27,0.4,0.13,0.51,0.86
Gais,3081,0.19,0.26,0.37,0.18,0.51,0.87
Gaiserwald,8139,0.2,0.26,0.36,0.18,0.5,0.87
Galgenen,5096,0.2,0.29,0.37,0.14,0.51,0.81
Galmiz,646,0.2,0.23,0.4,0.17,0.52,0.83
Gals,770,0.2,0.21,0.41,0.19,0.49,0.9
Gambarogno,5059,0.15,0.23,0.38,0.23,0.49,0.79
Gampel-Bratsch,1908,0.15,0.26,0.38,0.2,0.51,0.88
Gampelen,844,0.17,0.29,0.37,0.17,0.51,0.84
Gams,3267,0.21,0.29,0.36,0.14,0.51,0.8
Gansingen,992,0.18,0.25,0.38,0.19,0.51,0.93
Gebenstorf,4911,0.17,0.29,0.37,0.17,0.51,0.72
Gelterfingen,258,0.1,0.2,0.43,0.27,0.51,0.93
Gelterkinden,5869,0.17,0.27,0.35,0.21,0.49,0.82
Geltwil,190,0.19,0.37,0.36,0.08,0.51,0.83
Gempen,874,0.22,0.22,0.4,0.17,0.5,0.8
Gempenach,301,0.13,0.27,0.46,0.14,0.52,0.92
Genolier,1906,0.23,0.22,0.38,0.17,0.5,0.68
Genthod,2773,0.22,0.24,0.38,0.16,0.48,0.63
Genève,194500,0.16,0.34,0.34,0.16,0.48,0.52
Gerlafingen,4913,0.19,0.29,0.34,0.18,0.5,0.63
Geroldswil,4831,0.19,0.27,0.36,0.18,0.51,0.75
Gersau,2212,0.15,0.25,0.4,0.21,0.52,0.8
Gerzensee,1175,0.19,0.26,0.38,0.18,0.5,0.94
Gettnau,1088,0.23,0.3,0.34,0.14,0.54,0.81
Geuensee,2750,0.23,0.31,0.36,0.11,0.5,0.79
Giebenach,1060,0.18,0.27,0.4,0.16,0.51,0.8
Giez,384,0.19,0.22,0.4,0.19,0.5,0.9
Giffers,1528,0.19,0.26,0.39,0.16,0.5,0.92
Gilly,1082,0.23,0.26,0.4,0.12,0.49,0.71
Gimel,1920,0.22,0.27,0.35,0.15,0.49,0.77
Gingins,1244,0.22,0.22,0.4,0.15,0.49,0.72
Giornico,871,0.14,0.23,0.38,0.25,0.5,0.71
Gipf-Oberfrick,3547,0.19,0.26,0.4,0.15,0.5,0.87
Gisikon,1134,0.18,0.31,0.41,0.1,0.51,0.83
Giswil,3557,0.19,0.28,0.38,0.15,0.52,0.9
Giubiasco,8617,0.18,0.27,0.35,0.2,0.48,0.72
Givisiez,3118,0.21,0.36,0.32,0.11,0.5,0.66
Givrins,979,0.22,0.22,0.4,0.16,0.52,0.68
Gland,12597,0.22,0.32,0.36,0.11,0.49,0.65
Glarus,12446,0.18,0.29,0.35,0.19,0.5,0.74
Glarus Nord,17585,0.18,0.3,0.35,0.17,0.5,0.77
Glarus Süd,9760,0.15,0.24,0.39,0.22,0.51,0.82
Glattfelden,4838,0.19,0.29,0.38,0.13,0.5,0.77
Gletterens,957,0.21,0.22,0.39,0.17,0.49,0.87
Gnosca,724,0.23,0.22,0.35,0.19,0.5,0.89
Golaten,318,0.14,0.32,0.35,0.2,0.51,0.89
Goldach,9206,0.17,0.27,0.35,0.21,0.49,0.76
Gollion,812,0.2,0.28,0.38,0.13,0.51,0.83
Gommiswald,4973,0.19,0.24,0.4,0.17,0.51,0.88
Gondiswil,735,0.21,0.22,0.35,0.21,0.48,0.97
Gonten,1440,0.21,0.27,0.31,0.2,0.51,0.96
Gontenschwil,2040,0.17,0.24,0.39,0.2,0.52,0.84
Gordola,4530,0.17,0.25,0.37,0.21,0.49,0.81
Gorduno,765,0.2,0.28,0.36,0.16,0.47,0.85
Gorgier,1981,0.18,0.24,0.38,0.2,0.49,0.81
Gossau (SG),18052,0.18,0.31,0.34,0.18,0.5,0.8
Gossau (ZH),9772,0.2,0.25,0.38,0.17,0.5,0.86
Gottlieben,303,0.17,0.21,0.45,0.17,0.51,0.6
Goumoëns,961,0.25,0.28,0.33,0.15,0.52,0.89
Graben,326,0.19,0.28,0.37,0.16,0.54,0.93
Grabs,6901,0.2,0.27,0.37,0.17,0.5,0.83
Grafschaft,190,0.12,0.19,0.3,0.38,0.49,0.92
Grancia,524,0.16,0.29,0.4,0.15,0.5,0.68
Grancy,388,0.21,0.25,0.38,0.16,0.5,0.84
Grandcour,861,0.22,0.29,0.31,0.18,0.51,0.88
Grandevent,226,0.21,0.2,0.42,0.16,0.48,0.89
Grandfontaine,390,0.24,0.21,0.35,0.2,0.47,0.95
Grandson,3253,0.2,0.29,0.35,0.16,0.49,0.81
Grandval,373,0.17,0.29,0.35,0.19,0.52,0.93
Grandvillard,806,0.24,0.29,0.34,0.14,0.5,0.88
Granges (Veveyse),840,0.23,0.22,0.4,0.14,0.51,0.85
Granges-Paccot,3170,0.22,0.36,0.33,0.08,0.51,0.7
Grangettes,198,0.22,0.33,0.33,0.13,0.53,0.89
Gravesano,1277,0.17,0.24,0.38,0.21,0.49,0.82
Greifensee,5309,0.2,0.28,0.32,0.2,0.49,0.81
Grellingen,1810,0.17,0.26,0.42,0.16,0.51,0.72
Grenchen,16478,0.16,0.27,0.35,0.22,0.49,0.67
Greng,174,0.16,0.22,0.48,0.14,0.48,0.9
Grengiols,446,0.17,0.25,0.37,0.21,0.5,0.96
Grens,367,0.26,0.2,0.37,0.17,0.48,0.76
Greppen,1034,0.23,0.23,0.43,0.11,0.5,0.83
Gresso,41,0.12,0.07,0.37,0.44,0.54,1.0
Gretzenbach,2577,0.19,0.27,0.4,0.14,0.5,0.8
Grimisuat,3145,0.22,0.27,0.34,0.17,0.49,0.86
Grindel,484,0.15,0.22,0.43,0.2,0.48,0.92
Grindelwald,3736,0.14,0.29,0.35,0.22,0.51,0.81
Grolley,1911,0.21,0.32,0.35,0.12,0.51,0.8
Grono,1016,0.16,0.27,0.38,0.19,0.52,0.68
Grossaffoltern,2948,0.18,0.23,0.4,0.19,0.5,0.95
Grossdietwil,838,0.19,0.28,0.38,0.15,0.5,0.93
Grosshöchstetten,3503,0.17,0.25,0.37,0.2,0.5,0.9
Grosswangen,3103,0.23,0.3,0.34,0.13,0.51,0.88
Grub (AR),1016,0.17,0.26,0.36,0.21,0.52,0.89
Gruyères,2090,0.22,0.3,0.34,0.14,0.51,0.81
Gryon,1250,0.18,0.23,0.37,0.21,0.53,0.7
Grächen,1382,0.16,0.25,0.41,0.19,0.49,0.9
Gränichen,7256,0.18,0.27,0.38,0.18,0.49,0.79
Grône,2310,0.18,0.28,0.37,0.17,0.49,0.81
Grüningen,3373,0.19,0.26,0.38,0.16,0.5,0.87
Grüsch,1975,0.19,0.26,0.39,0.16,0.51,0.93
Gsteig,971,0.15,0.3,0.37,0.18,0.51,0.85
Gsteigwiler,406,0.16,0.27,0.39,0.17,0.5,0.93
