"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
"......Tentlingen";369
"......Ueberstorf";1613
"......Wünnewil-Flamatt";1321
"......Zumholz";191
">> Veveyse";13423
"......Attalens";981
"......Bossonnens";408
"......Châtel-Saint-Denis";4788
"......Granges (Veveyse)";446
"......Remaufens";589
"......Saint-Martin (FR)";976
"......Semsales";2939
"......Le Flon";954
"......La Verrerie";1342
">> Gäu";6201
"......Egerkingen";692
"......Härkingen";557
"......Kestenholz";860
"......Neuendorf";713
"......Niederbuchsiten";549
"......Oberbuchsiten";938
"......Oensingen";1204
"......Wolfwil";688
">> Thal";13934
"......Aedermannsdorf";1289
"......Balsthal";1569
"......Gänsbrunnen";1136
"......Herbetswil";1635
"......Holderbank (SO)";779
"......Laupersdorf";1552
"......Matzendorf";1129
"......Mümliswil-Ramiswil";3548
"......Welschenrohr";1297
">> Bucheggberg";6281
"......Aetigkofen";203
"......Aetingen";285
"......Bibern (SO)";300
"......Biezwil";418
"......Brügglen";170
"......Gossliwil";197
"......Hessigkofen";226
"......Küttigkofen";216
"......Kyburg-Buchegg";164
"......Lüterkofen-Ichertswil";438
"......Lüterswil-Gächliwil";308
"......Messen";1189
"......Mühledorf (SO)";332
"......Schnottwil";717
"......Tscheppach";184
"......Unterramsern";154
"......Lüsslingen-Nennigkofen";780
">> Dorneck";7464
"......Bättwil";169
"......Büren (SO)";622
"......Dornach";575
"......Gempen";597
"......Hochwald";828
"......Hofstetten-Flüh";752
"......Metzerlen-Mariastein";854
"......Nuglar-St. Pantaleon";633
"......Rodersdorf";530
"......Seewen";1639
"......Witterswil";265
">> Gösgen";6880
"......Hauenstein-Ifenthal";531
"......Kienberg";855
"......Lostorf";1331
"......Niedergösgen";433
"......Obergösgen";363
"......Rohr (SO)";225
"......Stüsslingen";615
"......Trimbach";765
"......Winznau";395
"......Wisen (SO)";480
"......Erlinsbach (SO)";887
">> Wasseramt";7663
"......Aeschi (SO)";544
"......Biberist";1224
"......Bolken";213
"......Deitingen";763
"......Derendingen";561
"......Etziken";338
"......Gerlafingen";191
"......Halten";185
"......Horriwil";260
"......Hüniken";101
"......Kriegstetten";113
"......Lohn-Ammannsegg";447
"......Luterbach";454
"......Obergerlafingen";152
"......Oekingen";245
"......Recherswil";333
"......Subingen";621
"......Zuchwil";467
"......Drei Höfe";451
">> Lebern";11728
"......Balm bei Günsberg";546
"......Bellach";526
"......Bettlach";1222
"......Feldbrunnen-St. Niklaus";249
"......Flumenthal";309
"......Grenchen";2605
"......Günsberg";528
"......Hubersdorf";136
"......Kammersrohr";94
"......Langendorf";195
"......Lommiswil";576
"......Oberdorf (SO)";1195
"......Riedholz";720
"......Rüttenen";880
"......Selzach";1947
">> Olten";8055
"......Boningen";281
"......Däniken";537
"......Dulliken";603
"......Eppenberg-Wöschnau";183
"......Fulenbach";448
"......Gretzenbach";581
"......Gunzgen";391
"......Hägendorf";1387
"......Kappel (SO)";510
"......Olten";1151
"......Rickenbach (SO)";280
"......Schönenwerd";374
"......Starrkirch-Wil";184
"......Walterswil (SO)";451
"......Wangen bei Olten";694
">> Solothurn";629
"......Solothurn";629
">> Thierstein";10216
"......Bärschwil";1118
"......Beinwil (SO)";2265
"......Breitenbach";683
"......Büsserach";755
"......Erschwil";745
"......Fehren";150
"......Grindel";300
"......Himmelried";600
"......Kleinlützel";1632
"......Meltingen";576
"......Nunningen";1029
"......Zullwil";363
">> Basel-Stadt";3707
"......Basel";2395
"......Bettingen";218
"......Riehen";1094
">> Arlesheim";9621
"......Aesch (BL)";740
"......Allschwil";892
"......Arlesheim";697
"......Biel-Benken";409
"......Binningen";445
"......Birsfelden";254
"......Bottmingen";296
"......Ettingen";638
"......Münchenstein";718
"......Muttenz";1663
"......Oberwil (BL)";788
"......Pfeffingen";485
"......Reinach (BL)";697
"......Schönenbuch";133
"......Therwil";766
">> Laufen";8952
"......Blauen";711
"......Brislach";937
"......Burg im Leimental";282
"......Dittingen";674
"......Duggingen";590
"......Grellingen";333
"......Laufen";1134
"......Liesberg";1251
"......Nenzlingen";365
"......Roggenburg";665
"......Röschenz";1006
"......Wahlen";543
"......Zwingen";461
">> Liestal";8585
"......Arisdorf";999
"......Augst";162
"......Bubendorf";1084
"......Frenkendorf";460
"......Füllinsdorf";463
"......Giebenach";134
"......Hersberg";169
"......Lausen";556
"......Liestal";1815
"......Lupsingen";315
"......Pratteln";1070
"......Ramlinsburg";225
"......Seltisberg";352
"......Ziefen";781
">> Sissach";14098
"......Anwil";399
"......Böckten";229
"......Buckten";200
"......Buus";887
"......Diepflingen";142
"......Gelterkinden";982
"......Häfelfingen";394
"......Hemmiken";343
"......Itingen";314
"......Känerkinden";144
"......Kilchberg (BL)";160
"......Läufelfingen";815
"......Maisprach";502
"......Nusshof";174
"......Oltingen";717
"......Ormalingen";694
"......Rickenbach (BL)";289
"......Rothenfluh";1088
"......Rümlingen";227
"......Rünenberg";498
"......Sissach";888
"......Tecknau";238
"......Tenniken";468
"......Thürnen";227
"......Wenslingen";585
"......Wintersingen";692
"......Wittinsburg";320
"......Zeglingen";793
"......Zunzgen";689
">> Waldenburg";10496
"......Arboldswil";344
"......Bennwil";652
"......Bretzwil";736
"......Diegten";965
"......Eptingen";1124
"......Hölstein";596
"......Lampenberg";403
"......Langenbruck";1572
"......Lauwil";727
"......Liedertswil";195
"......Niederdorf";442
"......Oberdorf (BL)";622
"......Reigoldswil";920
"......Titterten";370
"......Waldenburg";828
">> Oberklettgau";3204
"......Gächlingen";726
"......Löhningen";690
"......Neunkirch";1788
">> Reiat";3936
"......Büttenhardt";402
"......Dörflingen";577
"......Lohn (SH)";488
"......Stetten (SH)";472
"......Thayngen";1997
">> Schaffhausen";10578
"......Bargen (SH)";830
"......Beringen";1862
"......Buchberg";586
"......Merishausen";1751
"......Neuhausen am Rheinfall";806
"......Rüdlingen";552
"......Schaffhausen";4191
">> Schleitheim";4347
"......Beggingen";1264
"......Schleitheim";2152
"......Siblingen";931
">> Stein";3098
"......Buch (SH)";383
"......Hemishofen";794
"......Ramsen";1345
"......Stein am Rhein";576
">> Unterklettgau";4661
"......Hallau";1534
"......Oberhallau";601
"......Trasadingen";410
"......Wilchingen";2116
">> Hinterland";13619
"......Herisau";2516
"......Hundwil";2407
"......Schönengrund";521
"......Schwellbrunn";1739
"......Stein (AR)";940
"......Urnäsch";4825
